Date,Rule,Collection,Type,Description,Reference,Detection,Hash,Link VT,Hashtag
10/02/2020 08:27,Sig_APT_StringSet_7,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,0 / 59,74f838a8f6056ee66bcd87a49a88ac8bd91201e14065652dccd4d2747871d114,https://www.virustotal.com/gui/file/74f838a8f6056ee66bcd87a49a88ac8bd91201e14065652dccd4d2747871d114,#sig #apt #aptmalware #sig_apt_stringset_7
10/02/2020 08:26,Sig_APT_RATs_1,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,66 / 71,f180222ec0cc6454d380817fff2b27c984dda5b165694fecf438a47266b35c0e,https://www.virustotal.com/gui/file/f180222ec0cc6454d380817fff2b27c984dda5b165694fecf438a47266b35c0e,#sig #apt #rats #aptmalware #sig_apt_rats_1
10/02/2020 08:22,APT_Malware_Mar19_1,APT Malware,Valhalla Rule Feed Only,Detects backdoor mentioned in ClearSky report in March 2019,https://twitter.com/ClearskySec/status/1110941178231484417,53 / 72,bbfe7d70e491be33a877eecc671231b9acd703b6547832963aabb56e240d4407,https://www.virustotal.com/gui/file/bbfe7d70e491be33a877eecc671231b9acd703b6547832963aabb56e240d4407,#apt #aptmalware #apt_malware_mar19_1
10/02/2020 08:21,APT_NK_BabyShark_PCRat_Apr19_1,APT Malware,Valhalla Rule Feed Only,Detects BabyShark PCRat,https://unit42.paloaltonetworks.com/babyshark-malware-part-two-attacks-continue-using-kimjongrat-and-pcrat/,63 / 71,3f53c4eef6e500cfb9cdc3fcd22291aa73898bc8d92c6c08e3a7a060188cfbf5,https://www.virustotal.com/gui/file/3f53c4eef6e500cfb9cdc3fcd22291aa73898bc8d92c6c08e3a7a060188cfbf5,#apt #babyshark #pcrat #aptmalware #apt_nk_babyshark_pcrat_apr19_1
10/02/2020 08:15,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,56 / 70,39593251c3d8f9acb86ff48aec5f4062a3c7d32b2fbda8baa776a07b8a5e8e7e,https://www.virustotal.com/gui/file/39593251c3d8f9acb86ff48aec5f4062a3c7d32b2fbda8baa776a07b8a5e8e7e,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
10/02/2020 08:04,Sig_APT_StringSet_3,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,mars-72,36ccea740011abde180010b10e9ca6dbd2f9ba68c4109f816b4e5dd1919f0c34,https://www.virustotal.com/gui/file/36ccea740011abde180010b10e9ca6dbd2f9ba68c4109f816b4e5dd1919f0c34,#sig #apt #aptmalware #sig_apt_stringset_3
10/02/2020 08:02,Sig_APT_StringSet_3,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,avr-72,dc702bc49d1e4ccb877d369f08968cd64fbeb4bc926fcb6bf9ec04c1ebe61031,https://www.virustotal.com/gui/file/dc702bc49d1e4ccb877d369f08968cd64fbeb4bc926fcb6bf9ec04c1ebe61031,#sig #apt #aptmalware #sig_apt_stringset_3
10/02/2020 07:56,APT_Malware_Mar19_1,APT Malware,Valhalla Rule Feed Only,Detects backdoor mentioned in ClearSky report in March 2019,https://twitter.com/ClearskySec/status/1110941178231484417,36 / 73,ae979d7659d6bb1e5583bca1df479b1b9236e2f57ea1803a9ba65210413b9e98,https://www.virustotal.com/gui/file/ae979d7659d6bb1e5583bca1df479b1b9236e2f57ea1803a9ba65210413b9e98,#apt #aptmalware #apt_malware_mar19_1
10/02/2020 07:54,Sig_APT_StringSet_5,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,f‚vr-72,26283cf9a90649b00771368db32910c68463fe9a780b032cf36f86915670282f,https://www.virustotal.com/gui/file/26283cf9a90649b00771368db32910c68463fe9a780b032cf36f86915670282f,#sig #apt #aptmalware #sig_apt_stringset_5
10/02/2020 07:53,Sig_APT_StringSet_5,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,janv-71,f44da1554a6b4e6b6c881f112aaa8a0e6ff59e04fa9d3ebddbf397dc58cd5faf,https://www.virustotal.com/gui/file/f44da1554a6b4e6b6c881f112aaa8a0e6ff59e04fa9d3ebddbf397dc58cd5faf,#sig #apt #aptmalware #sig_apt_stringset_5
10/02/2020 07:53,Sig_APT_StringSet_5,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,janv-72,cdbb119c9e165adbfd392e9af5c352fd53393c6e745d9742cc9fbb627cc95dd5,https://www.virustotal.com/gui/file/cdbb119c9e165adbfd392e9af5c352fd53393c6e745d9742cc9fbb627cc95dd5,#sig #apt #aptmalware #sig_apt_stringset_5
10/02/2020 07:51,Sig_APT_StringSet_5,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,janv-71,aab64fc85fdec45255923d44c27e79e9dff213cccca986cfdbc4e4a5bb414ff0,https://www.virustotal.com/gui/file/aab64fc85fdec45255923d44c27e79e9dff213cccca986cfdbc4e4a5bb414ff0,#sig #apt #aptmalware #sig_apt_stringset_5
10/02/2020 07:51,Sig_APT_StringSet_5,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,f‚vr-71,6051f90e21ad610102eec4cea590221aded4bd7afa6d9193bd7e6e98ca0873de,https://www.virustotal.com/gui/file/6051f90e21ad610102eec4cea590221aded4bd7afa6d9193bd7e6e98ca0873de,#sig #apt #aptmalware #sig_apt_stringset_5
10/02/2020 07:51,Sig_APT_StringSet_5,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,janv-71,9ac4f71c6877625b512200e4ee909b865d1111e79aa9a1150f6595122bd17c47,https://www.virustotal.com/gui/file/9ac4f71c6877625b512200e4ee909b865d1111e79aa9a1150f6595122bd17c47,#sig #apt #aptmalware #sig_apt_stringset_5
10/02/2020 07:51,Sig_APT_StringSet_5,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,janv-70,f7defa986266d5232fbf999fea4015ca7d69abe80704bc7554c0d99d9519ea82,https://www.virustotal.com/gui/file/f7defa986266d5232fbf999fea4015ca7d69abe80704bc7554c0d99d9519ea82,#sig #apt #aptmalware #sig_apt_stringset_5
10/02/2020 07:43,Sig_APT_StringSet_2,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,65 / 72,69ce12a8074c90d04742e2fb6f08de0e222aa0979dde2cd15e6fc793f21e77c5,https://www.virustotal.com/gui/file/69ce12a8074c90d04742e2fb6f08de0e222aa0979dde2cd15e6fc793f21e77c5,#sig #apt #aptmalware #sig_apt_stringset_2
10/02/2020 07:43,Sig_APT_StringSet_7,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,54 / 73,64f6231a24ba5500761c4e2a9f2327fd8ae749c4513a600fc1e039b720b7cedd,https://www.virustotal.com/gui/file/64f6231a24ba5500761c4e2a9f2327fd8ae749c4513a600fc1e039b720b7cedd,#sig #apt #aptmalware #sig_apt_stringset_7
10/02/2020 07:42,Sig_APT_RATs_1,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,69 / 73,38db64b63f8d375dd572adcf17fd2dd3a0e2c9276c242f5c28d658b45fbdd400,https://www.virustotal.com/gui/file/38db64b63f8d375dd572adcf17fd2dd3a0e2c9276c242f5c28d658b45fbdd400,#sig #apt #rats #aptmalware #sig_apt_rats_1
10/02/2020 07:41,Sig_APT_StringSet_7,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,38 / 72,b69a1c2246427d97dd57b85e221d425fb88bc5640a90a46ad3abcb634667acfa,https://www.virustotal.com/gui/file/b69a1c2246427d97dd57b85e221d425fb88bc5640a90a46ad3abcb634667acfa,#sig #apt #aptmalware #sig_apt_stringset_7
10/02/2020 07:35,APT_NK_BabyShark_PCRat_Apr19_1,APT Malware,Valhalla Rule Feed Only,Detects BabyShark PCRat,https://unit42.paloaltonetworks.com/babyshark-malware-part-two-attacks-continue-using-kimjongrat-and-pcrat/,68 / 73,b375319d6d380ef8b35d2bcc9003aec6d3c8b775a45586401818cf56fb240c80,https://www.virustotal.com/gui/file/b375319d6d380ef8b35d2bcc9003aec6d3c8b775a45586401818cf56fb240c80,#apt #babyshark #pcrat #aptmalware #apt_nk_babyshark_pcrat_apr19_1
10/02/2020 07:32,APT_CN_APT_C_01_Report_Sep18_2,APT Malware,Valhalla Rule Feed Only,Detects samples mentioned in APT-C-01 report by 360 in September 2018,https://ti.360.net/uploads/2018/09/20/6f8ad451646c9eda1f75c5d31f39f668.pdf,60 / 71,fa80f8e3fec0a72c361e62225392dbfe070f0952f8dc7b9929d9d04ab045cf67,https://www.virustotal.com/gui/file/fa80f8e3fec0a72c361e62225392dbfe070f0952f8dc7b9929d9d04ab045cf67,#apt #apt #report #aptmalware #apt_cn_apt_c_01_report_sep18_2
10/02/2020 07:30,APT_CN_APT_C_01_Report_Sep18_2,APT Malware,Valhalla Rule Feed Only,Detects samples mentioned in APT-C-01 report by 360 in September 2018,https://ti.360.net/uploads/2018/09/20/6f8ad451646c9eda1f75c5d31f39f668.pdf,55 / 72,975709835e97a14b9ac11f93e941015a3a9770aad0fc65607d86bd13baa935a6,https://www.virustotal.com/gui/file/975709835e97a14b9ac11f93e941015a3a9770aad0fc65607d86bd13baa935a6,#apt #apt #report #aptmalware #apt_cn_apt_c_01_report_sep18_2
10/02/2020 07:21,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,58 / 72,742c05d1ef4acc3f9d4ba4b525fd6bab9870831400e6251f4fe66065cbada392,https://www.virustotal.com/gui/file/742c05d1ef4acc3f9d4ba4b525fd6bab9870831400e6251f4fe66065cbada392,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
10/02/2020 07:21,APT_ShadowForce_Malware_ON_Nov17_1,APT Malware,Valhalla Rule Feed Only,Detects malware from NK APT incident DE,-,janv-70,1d2b54a37839aaaa37d040c1566f3285966e2c2abdfeea3562fdaf6f9656381b,https://www.virustotal.com/gui/file/1d2b54a37839aaaa37d040c1566f3285966e2c2abdfeea3562fdaf6f9656381b,#apt #shadowforce #aptmalware #apt_shadowforce_malware_on_nov17_1
10/02/2020 07:21,Sig_APT_RATs_1,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,69 / 73,85cfbf70016e434f50071f1db10a49094cc7ad2d8b8e806f2dd0da7b3020a87e,https://www.virustotal.com/gui/file/85cfbf70016e434f50071f1db10a49094cc7ad2d8b8e806f2dd0da7b3020a87e,#sig #apt #rats #aptmalware #sig_apt_rats_1
10/02/2020 07:11,Sig_APT_StringSet_2,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,68 / 72,207f4939bb0f472200f93992dd6700a8b71d72c59abc73dac5722f160ec056ef,https://www.virustotal.com/gui/file/207f4939bb0f472200f93992dd6700a8b71d72c59abc73dac5722f160ec056ef,#sig #apt #aptmalware #sig_apt_stringset_2
10/02/2020 07:10,Sig_APT_StringSet_4,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,56 / 71,efb9b394d852774420e49a4a4ddf5027c86eb463e0af8a5523f0f53e6f36d941,https://www.virustotal.com/gui/file/efb9b394d852774420e49a4a4ddf5027c86eb463e0af8a5523f0f53e6f36d941,#sig #apt #aptmalware #sig_apt_stringset_4
10/02/2020 07:06,APT_NK_BabyShark_PCRat_Apr19_1,APT Malware,Valhalla Rule Feed Only,Detects BabyShark PCRat,https://unit42.paloaltonetworks.com/babyshark-malware-part-two-attacks-continue-using-kimjongrat-and-pcrat/,65 / 73,7ab109252a592cac985dfc887364810cd0ad2631a6ea3380dd6fe3dd27be703b,https://www.virustotal.com/gui/file/7ab109252a592cac985dfc887364810cd0ad2631a6ea3380dd6fe3dd27be703b,#apt #babyshark #pcrat #aptmalware #apt_nk_babyshark_pcrat_apr19_1
10/02/2020 07:04,APT_Tick_MAL_ENDTRADE_Nov19_3,Chinese Threat Groups,Valhalla Rule Feed Only,Detects Tick group malware mentioned in ENDTRADE report,https://blog.trendmicro.com/trendlabs-security-intelligence/operation-endtrade-finding-multi-stage-backdoors-that-tick/,33 / 71,da4097a52dca985e01be2a2e674e850d1bbabe95c0ae674452550bb4086cb93e,https://www.virustotal.com/gui/file/da4097a52dca985e01be2a2e674e850d1bbabe95c0ae674452550bb4086cb93e,#apt #tick #endtrade #chinesethreatgroups #apt_tick_mal_endtrade_nov19_3
10/02/2020 07:02,APT_NK_BabyShark_PCRat_Apr19_1,APT Malware,Valhalla Rule Feed Only,Detects BabyShark PCRat,https://unit42.paloaltonetworks.com/babyshark-malware-part-two-attacks-continue-using-kimjongrat-and-pcrat/,67 / 72,b2fce547a7d671305adf8193b4e5c52e7fd293e5be127ed26843398d742f6990,https://www.virustotal.com/gui/file/b2fce547a7d671305adf8193b4e5c52e7fd293e5be127ed26843398d742f6990,#apt #babyshark #pcrat #aptmalware #apt_nk_babyshark_pcrat_apr19_1
10/02/2020 07:01,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,56 / 73,1c47c5cfe80f5ec241af62a728c55c89cfa26f81d38e66704e8861f25e9c2b0f,https://www.virustotal.com/gui/file/1c47c5cfe80f5ec241af62a728c55c89cfa26f81d38e66704e8861f25e9c2b0f,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
10/02/2020 07:00,Sig_APT_StringSet_2,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,69 / 72,2dae01f8c372cf1e2a474686285bc6b0f75f50dc099228c01d8b804a08fc6df0,https://www.virustotal.com/gui/file/2dae01f8c372cf1e2a474686285bc6b0f75f50dc099228c01d8b804a08fc6df0,#sig #apt #aptmalware #sig_apt_stringset_2
10/02/2020 06:55,Sig_APT_RATs_1,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,68 / 71,6d4aac39090171326095c658dbf0c131d0a111168ce9097f1c2ad5582028f645,https://www.virustotal.com/gui/file/6d4aac39090171326095c658dbf0c131d0a111168ce9097f1c2ad5582028f645,#sig #apt #rats #aptmalware #sig_apt_rats_1
10/02/2020 06:46,Sig_APT_RATs_1,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,66 / 71,8387882eaf9dc92bbbbd4ae755a2874decc5baad1d2784e3405d7d123d7d96ae,https://www.virustotal.com/gui/file/8387882eaf9dc92bbbbd4ae755a2874decc5baad1d2784e3405d7d123d7d96ae,#sig #apt #rats #aptmalware #sig_apt_rats_1
10/02/2020 06:46,Sig_APT_RATs_1,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,67 / 71,cd36ae4b3bc4a1c209c4c2093a239c69368ac2eb0e13d63312b9c0fdfeceef56,https://www.virustotal.com/gui/file/cd36ae4b3bc4a1c209c4c2093a239c69368ac2eb0e13d63312b9c0fdfeceef56,#sig #apt #rats #aptmalware #sig_apt_rats_1
10/02/2020 06:43,APT_MAL_Machete_SFX_Keyword_Aug19_1,APT Malware,Valhalla Rule Feed Only,Detects SFX used by Machete,https://www.welivesecurity.com/2019/08/05/sharpening-machete-cyberespionage/,68 / 72,bd8f109e19d3fde445aa0cbf3b6a89d592c2f4a916193a415a9cdab6e2e36b31,https://www.virustotal.com/gui/file/bd8f109e19d3fde445aa0cbf3b6a89d592c2f4a916193a415a9cdab6e2e36b31,#apt #machete #sfx #keyword #aptmalware #apt_mal_machete_sfx_keyword_aug19_1
10/02/2020 06:33,Sig_APT_RATs_1,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,69 / 73,b9846c4904422fefa27e1517a35669b3febb28f48be9c2672f081f5c9bff77de,https://www.virustotal.com/gui/file/b9846c4904422fefa27e1517a35669b3febb28f48be9c2672f081f5c9bff77de,#sig #apt #rats #aptmalware #sig_apt_rats_1
10/02/2020 06:29,APT_CN_APT_C_01_Report_Sep18_2,APT Malware,Valhalla Rule Feed Only,Detects samples mentioned in APT-C-01 report by 360 in September 2018,https://ti.360.net/uploads/2018/09/20/6f8ad451646c9eda1f75c5d31f39f668.pdf,57 / 72,423474c040baf010d398e8b87812613ed9139f2da693189c66831d2328805956,https://www.virustotal.com/gui/file/423474c040baf010d398e8b87812613ed9139f2da693189c66831d2328805956,#apt #apt #report #aptmalware #apt_cn_apt_c_01_report_sep18_2
10/02/2020 06:27,Sig_APT_StringSet_4,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,35 / 70,0f0c146a4749c59b350e7caea963d58210cd89e23e6ded1d479e3f1e3ffd3a4c,https://www.virustotal.com/gui/file/0f0c146a4749c59b350e7caea963d58210cd89e23e6ded1d479e3f1e3ffd3a4c,#sig #apt #aptmalware #sig_apt_stringset_4
10/02/2020 06:26,APT_CN_APT_C_01_Report_Sep18_5,APT Malware,Valhalla Rule Feed Only,Detects samples mentioned in APT-C-01 report by 360 in September 2018,https://ti.360.net/uploads/2018/09/20/6f8ad451646c9eda1f75c5d31f39f668.pdf,46 / 73,849461f85d6b82bf5e3b00ba99ba8afa1ebfde2995a9bc4b01982568900f2974,https://www.virustotal.com/gui/file/849461f85d6b82bf5e3b00ba99ba8afa1ebfde2995a9bc4b01982568900f2974,#apt #apt #report #aptmalware #apt_cn_apt_c_01_report_sep18_5
10/02/2020 06:17,Sig_APT_RATs_1,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,69 / 72,1150ab6c9aea555e8f4a9aebec1d90b07dec208cd73b65fa2b60c44c366c3553,https://www.virustotal.com/gui/file/1150ab6c9aea555e8f4a9aebec1d90b07dec208cd73b65fa2b60c44c366c3553,#sig #apt #rats #aptmalware #sig_apt_rats_1
10/02/2020 06:09,Sig_APT_StringSet_2,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,69 / 73,a9eb1d8070e959a207f618d9eb7d55a5474eaed3ba5a33a996d4ea780ee9c25f,https://www.virustotal.com/gui/file/a9eb1d8070e959a207f618d9eb7d55a5474eaed3ba5a33a996d4ea780ee9c25f,#sig #apt #aptmalware #sig_apt_stringset_2
10/02/2020 06:06,Sig_APT_StringSet_2,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,67 / 71,8bd5e83403e34ed0e8f6151de857bd489910b4d6cf208536a47aa0e43f8e168e,https://www.virustotal.com/gui/file/8bd5e83403e34ed0e8f6151de857bd489910b4d6cf208536a47aa0e43f8e168e,#sig #apt #aptmalware #sig_apt_stringset_2
